Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT,iHomer
Eukaryote,0.7965381048677644,0.6403164772734942,0.1104544304172185,0.7984540945788782,0.38904007260697,0.525892079059215,0.4818118156973904,0.0215269796541975,0.2748537614518949,0.6952852140982831,0.4899959523844618,0.8130650905415304,0.810630329645963,0.6909316318331262,0.201822900697602,0.1304432457617442,0.7841019276921066,0.946428571
Slashdot,0.3110603309144616,0.1392064660552738,0.0,0.0168406389273119,0.0450083832921229,0.0860610218439499,0.1189474430322918,0.0,0.0065784623714172,0.0760551373356175,0.1594683151728971,0.0068416823542311,0.0052626997980033,0.357901542979905,0.1399929377716582,0.0055265911665692,0.0426280531059894,0.231441048
Enron,0.0906567786196719,0.1052781443122786,0.0269097306315184,0.095922729947258,0.0900698217288478,0.0865605068801607,0.0719409268339886,0.0,0.0643354076771366,0.0760338346493627,0.0713551705324028,0.0994334667796616,0.1006025771454046,0.0660939871435667,0.1123015839377467,0.0614110618809767,0.0947524434891273,0.048672566
Hypercube,0.9931940206645742,0.9938606877613588,0.9305169277598576,0.9768655350622412,0.8545561169193985,0.9462085880681202,0.8876011820975276,0.0006467710336313,0.994228849734336,0.9925671456940908,0.9944975084713932,0.9855024159421228,0.9864576470071672,0.986805928911324,0.7854003585055098,0.8060668392874579,0.9006858428691665,1.0
Langlog,0.1923132579292303,0.1800402257693484,0.1411726445734047,0.164358077686863,0.1404908087370852,0.1411726445734047,0.17390778800176,0.0,0.1398089729005542,0.1363995332280853,0.1398089728957866,0.1541276153729024,0.1568549495716659,0.0941014424396196,0.1370816295566402,0.1650390835221886,0.1643553304310895,0.2
Stackex,0.0261599345359804,0.0261545122932533,0.0017859937642696,0.0172425177108762,0.0047586094735416,0.0059471226131223,0.0249682584295899,0.001194743130227,0.0029749715821992,0.0029745107966189,0.0041630109913267,0.0208082709979757,0.0196193464671003,0.0457716240849283,0.0267491322799371,0.0017859937642696,0.0243754272855147,0.04
Tmc,0.2380835807065546,0.1335169243535917,0.0609300399171148,0.2271569284641955,0.1519952312919363,0.1386317228982747,0.0958316493508522,0.0913776370158806,0.1042176149827047,0.1574572182743893,0.1373458164110036,0.2474443507402043,0.2422240450757612,0.2187696359467309,0.0861226731292137,0.1545694349970391,0.2298713985943306,0.245537289
Ohsumed,0.173958365248543,0.0162171241558952,0.0608672816366775,0.0860145863268415,0.1423836042282689,0.1492427055577552,0.1068047237141566,0.0727987946895719,0.0097883117056973,0.058153214348163,0.0028575879819494,0.1046615126514523,0.1009454442033209,0.1182351991777889,0.0835851320400446,0.1663876079133625,0.1031618200889832,0.155781713
D20ng,0.5256957418058021,0.0893047677543141,0.0001548020119842,0.0746580827201979,0.2739822120663731,0.2529469627341414,0.2801170023157263,0.1105921301291361,0.0637793614904283,0.1042052122572428,0.0652770406287215,0.1969581176086532,0.1767988335435756,0.5055876064444047,0.0824934422523422,0.2532544124614512,0.1561736837673873,0.6008
Bibtex,0.1224639481726585,0.0026916061811081,0.0,0.0571943763182398,0.0530215132082486,0.0569256501955725,0.0356608564128684,0.0320271277785099,0.0520798959712021,0.046024704225964,0.0437374446726828,0.0588078145433152,0.0586729431701255,0.1059075310303888,0.062979883906992,0.0434686052572787,0.0667482635754626,0.121644686
Nuswidec,0.267303720073596,0.2538681120041697,0.1323122989708443,0.2245795418612411,0.2146013791591009,0.2171885756053901,0.1169725033418165,0.0,0.2209741865092386,0.2475987393365396,0.0,0.2292034291483985,0.2290189407073384,0.0,0.2223799323915757,0.206110625410862,0.2231253330264563,0.356347439
Imdb,0.0498508707444234,0.046946155390728,0.0016210931755857,0.0069452195165239,0.0077105256203684,0.0105495775867851,0.0156266828671226,0.0004855050627388,3.291559747382183e-05,0.0088542970169897,0.0,0.0157748904998203,0.017066823444742,0.0416877832896781,0.1096670848596412,0.0010615280185307,0.0107140310393515,0.047512179
Average,0.35100327576139195,0.2748471408240269,0.1331753309967466,0.2669397124496082,0.2042052521694652,0.23975312050339118,0.23047804412592424,0.048578703675670416,0.17076843077547146,0.26008962359809273,0.24251117130367714,0.27938955343155863,0.27719006240583616,0.28103159809045625,0.17757779969148235,0.1751026385762388,0.26884870998601,0.38686045418181814
Avg Rank,4.5,7.181818181818182,14.318181818181818,9.227272727272727,10.318181818181818,9.25,9.227272727272727,16.522727272727273,13.181818181818182,8.863636363636363,10.772727272727273,8.090909090909092,7.863636363636363,8.590909090909092,9.727272727272727,11.681818181818182,8.818181818181818,2.8636363636363638
